English	German	back then	damals
English	German	to make a decision	eine Entscheidung treffen
English	Chinese (Simplified)	It is a sign that something is wrong	这是出现问题的迹象
Chinese	English	打呼	snore
English	Chinese (Simplified)	the only thing is	唯一的事情是
English	Chinese (Simplified)	to create an account	创建一个帐户
English	Chinese (Simplified)	we can only speculate	我们只能推测
Chinese	English	天堂	Heaven
Chinese	English	后悔	regret
Chinese	English	甜点	dessert
Chinese	English	魔鬼	Devil
Chinese	English	鸟窝	bird's nest
Chinese	English	天真	Innocent
Chinese	English	托付	Entrust
Chinese	English	踮	Tiptoe
Chinese	English	乖巧	Clever
Chinese	English	蹒跚	stumble
Chinese	English	生面孔	Raw face
Chinese	English	哑巴	Dumb
Chinese	English	幼小	Young
Chinese	English	尽头	The end
Chinese	English	脑瓜儿	Brain
Chinese	English	伴随	Accompanying
Chinese	English	委屈	Wronged
Chinese	English	拆散	break up
Chinese	English	两全	Both
Chinese	English	重大	major
Chinese	English	刹那	moment
Chinese	English	取决	Depends on
Chinese	English	平坦	flat
Chinese	English	分歧	Disagreement
Chinese	English	分期	Staging
Chinese	English	随意	random
Chinese	English	毕竟	after all
Chinese	English	信服	convince
Chinese	English	如此	in this way
Chinese	English	田野	field
Chinese	English	临时	temporary
Chinese	English	事件	event